actdely_dt,omstracknum,ordnum,origin_zip,dest_zip,shipnode,channel,carrier_scac,reqship_dt,sysship_dttm,sysship_dt,estdely_dt,actdely_month,estdely_week,delivered_late,xcpnscan1_desc,xcpnscan2_desc,xcpnscan3_desc,xcpnscan4_desc,planned_transit,carrier_pub_tnt,units,transit_override,carrier_xcp,guest_xcp,holiday_xcp,weather_xcp,uncontrol_xcp,order_dttm,late_ship_business,node_on_time_ship,ots_rsd,post_release_inf,node_mnr,carrier_not_meet_tnt,carrier_defect,origin_defect,system_defect,uncontrollable_defect,dpo_delivered_late
2019-02-03,420951369261290982834116148880,9222368040631,95110,95136,STR2088,STR,USPS,2019-02-02,2019-02-02 09:18,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-31,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420957589261290982834529324574,2050385404979,95817,95758,STR2492,STR,USPS,2019-02-01,2019-02-01 16:24,2019-02-01,2019-02-02,2019/01,201852,Y, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-21,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,Y
2019-02-03,444188713548,1022270616095,91761,94015,9479,FC 9479,FDXG,2019-02-01,2019-01-31 17:15,2019-01-31,2019-02-06,2019/01,201901,N, , , , ,2.0,2.0,1.0,N,N,N,N,N,N,2019-01-31,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,661194970324169,9050116195309,55421,99741,STR2200,STR,FDXG,2019-01-20,2019-01-20 10:24,2019-01-20,2019-01-29,2019/01,201852,Y, , , , ,6.0,5.0,1.0,Y,N,N,N,N,N,2019-01-19,N,NULL,0,0,NULL,Carrier Did not meet TNT,carrier,NULL,NULL,NULL,Y
2019-02-03,676899871015865,1050509337996,12302,14226,STR2805,STR,FDXG,2019-01-31,2019-02-01 11:48,2019-02-01,2019-02-01,2019/01,201852,Y, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-30,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,Y
2019-02-03,9261299992573615290576,9150510004087,97321,92530,9434,FC 9434,FDXG,2019-01-30,2019-01-30 18:00,2019-01-30,2019-02-05,2019/01,201901,N, , , , ,4.0,5.0,1.0,Y,N,N,N,N,N,2019-01-30,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,92748999921078573020674699,1050472967996,17408,48236,9475,FC 9475,UPSM,2019-01-28,2019-01-28 15:57,2019-01-28,2019-02-04,2019/01,201901,N, , , , ,4.0,4.0,1.0,N,N,N,N,N,N,2019-01-27,N,NULL,1,0,NULL,Carrier Did not meet TNT,carrier,NULL,NULL,NULL,N
2019-02-03,9274899992573377990772,9150469675066,17408,60126,9475,FC 9475,FDXG,2019-01-27,2019-01-27 12:42,2019-01-27,2019-02-04,2019/01,201901,N, , , , ,5.0,5.0,2.0,N,N,N,N,N,N,2019-01-27,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,9274899992573378050437,9150487876386,17408,48820,9475,FC 9475,FDXG,2019-01-29,2019-01-29 00:41,2019-01-29,2019-02-05,2019/01,201901,N, , , , ,4.0,4.0,1.0,N,N,N,N,N,N,2019-01-28,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,9274899992573378101115,9150506933919,17408,08005,9475,FC 9475,FDXG,2019-01-31,2019-01-30 18:26,2019-01-30,2019-02-04,2019/01,201901,N, , , , ,3.0,3.0,2.0,N,N,N,N,N,N,2019-01-30,N,NULL,2,0,NULL,NULL,NULL,NULL,System,NULL,N
